,id,name,artists
0,1pbdIZCe29D7UYWqvkBYCe,Montana Girl,Vansire
1,0SBariQWfKjoslW2XSIFOm,Seventeen,Peach Pit
2,5OuJTtNve7FxUX82eEBupN,Tommy's Party,Peach Pit
3,51jG0OlS5GWuunFH05NyC6,Hot Knifer,Peach Pit
4,65sNrvOp2HLlhGTeLJ0nnk,Being so Normal,Peach Pit
5,1XrSjpNe49IiygZfzb74pk,What Once Was,Her's
6,4whYKrpVKvvaucBF0vtPuQ,Shampoo Bottles,Peach Pit
7,7ACT6YaXbYvl7hRWEOOEHQ,Double Negative (Skeleton Milkshake),Dominic Fike
8,7cneuh5BMBbqbbGrpqTDHQ,That I Miss You,Vansire
9,4fY6EU3jUQQISiUR8DLXuM,Sweet FA,Peach Pit
10,0ZK8TGOsngrstVPsnrHbK1,Peach Pit,Peach Pit
11,6lbLn5iL2NBJnbib7bTXMn,Dræm Girl,No Vacation
12,59JOMc9A6w8CkIHgs4kfNl,Chagu's Sideturn,Peach Pit
13,1FvDJ9KGxcqwv1utyPL3JZ,This Charming Man - 2011 Remaster,The Smiths
14,7wmYgsLNRB9EpqpvR3hkvN,Problems III,The Growlers
15,1xLs8Mu1QEVbGCpyHQ2r2U,Why,Dominic Fike
16,40d4m1eI0erCRKLXz55RtT,Private Presley,Peach Pit
17,25yzL6nFoeW8O6WrqZUJub,Piccadilly Palare - 2010 Remaster,Morrissey
18,0a0EYuSVqeVqV8kjN9bFYC,Techno Show,Peach Pit
19,6z6i7ssJ5AIqSqhVcecJpa,Angel Youth,Vansire
20,3IrBrje316Ji5b1eL5JPcT,Doctor,Jack Stauber's Micropop
21,1R5d3XlKJXGNrw4LUdeA3D,Personal Truth,Radiator Hospital
22,3JhCt1KyrtQJHjeT9mOeST,I Never Dreamed,Radiator Hospital
23,7mwLlFNlWD4AOFoxPJTPwn,Speed Racer,Her's
24,1jQ19CIEPxKkixOhBh7KNf,Halcyon Age,Vansire
25,7LZN7FkxHZk6maiN6NdI2i,Dark Days,Local Natives
26,35m0zFQz1RgVQsUwegOyzf,Pulp of Youth,The Growlers
27,3mJcEwAZ7GgPmppR6LvAdp,Sockboy,Gus Dapperton
28,6fLvsD8uWsCRow8PfOpMav,Our Song,Radiator Hospital
29,6tjD6Utdb0q9jsDDfKFNes,"She - Original 7"" Version",Misfits
30,6qn2qn12aqeFfIjGodvxjw,Saint Ivy,Beach Fossils
31,5LwoLKuzz5V8PFdtRD7wIh,People Can't Stop Chillin',Sports
32,1bda1uGY3RK54S59aNq4f7,My Favorite Fish,Gus Dapperton
33,4WUAyxkq3x4l5P7QN0vmHr,Don't Come Home Today,Good Morning
34,5PxibFPxW06HBPab6KrcPP,You Don't Know This Guy,Her's
35,0UVzM2GkqTTf57G6Wj05UL,Under Wraps,Her's
36,2iCzZEPF8GTfQ1v4WCi7De,The Daisy Chain,The Growlers
37,5RMIMSHicmveOaVUfGTWIW,My Fire,Radiator Hospital
38,2G2YyCPsqnimrR3ecHw5ZQ,Lose Sight of You II,Radiator Hospital
39,6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,Peach Pit
40,57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo"
41,5dd8bjfDdmFXhbKiGbE1bW,Weird Little Idea,Radiator Hospital
42,55WsKmJ5C0r50dFYTWJ2CT,Ghost Story,Radiator Hospital
43,6St6kIw1vscBbLDl2K05xz,I Wanna Be Good,The Walters
44,4m3uMuu1gYYjZPtZvTOe6t,Orgasm of Death,The Growlers
45,6RzMzTdBOH05fQN8DvY2iQ,Fill Me Up Anthem,Gus Dapperton
46,5LYJ631w9ps5h9tdvac7yP,Easy Lover,"Philip Bailey, Phil Collins"
47,0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
48,20j7l6tFtc5lynXpbOQg1O,Superstar Sh*t,Dominic Fike
49,4j4pPKE3xAblPIbhxScC1j,Rawnald Gregory Erickson the Second,STRFKR
